point,x,y,T,ph,tds,ec,na,ca,mg,cl,so4,hco3,no3_n,k,season,no3,ion_sum_mgL,facies_cluster,clr_na,clr_ca,clr_mg,clr_cl,clr_so4,clr_hco3,facies_cluster_clr
p1,649111.635,3870571.859,19.8,7.26,1324.0,1698,256.0,142.15,76.3,230.01,125.0,392.5,27.07411503,2.46,dry,119.9383295829,1221.96,1,0.36589306420778556,-0.22240154217476782,-0.8446114419813657,0.25883840596713625,-0.3509706429694752,0.7932521569506861,1
p2,648968.934,3870318.17,18.8,7.42,1198.0,1536,350.0,139.02,82.87,230.0,110.54,411.0,35.72156704,6.57,dry,158.24654198719998,1323.4299999999998,1,0.6292874800099097,-0.2940278668012093,-0.8113725596125985,0.20943363444964636,-0.5232682280684324,0.789947540022685,1
p3,649529.165,3871137.374,19.3,7.37,1443.0,1850,208.6,141.85,65.25,290.5,128.87,396.0,27.47847603,10.23,dry,121.7296488129,1231.0700000000002,1,0.1762124289214908,-0.2094359523903213,-0.9859800674423784,0.507397462646785,-0.3054019693448815,0.8172080976092992,1
p4,649819.85,3869847.788,18.6,7.26,1275.0,1635,198.45,144.96,72.86,304.98,119.3,492.01,28.72544403,3.54,dry,127.2537170529,1332.56,0,0.0812169484984242,-0.23286238843598106,-0.9207804391502332,0.5109259699562161,-0.42767890162678057,0.9891788107583555,1
p5,648799.808,3870450.299,17.9,7.38,1139.0,1460,203.26,149.99,52.34,252.12,110.9,483.96,29.28341703,7.89,dry,129.7255374429,1252.57,0,0.19726064976072077,-0.10665667274163138,-1.1594644008469,0.41267986669600987,-0.4085964035925782,1.0647769607243776,1
p6,648345.282,3871893.156,18.2,7.91,1112.0,1425,189.63,141.5,80.57,229.16,83.0,525.2,21.74287502,1.65,dry,96.3209363386,1249.06,0,0.1278179561872621,-0.16495713188176264,-0.7281304771759505,0.3171636005753218,-0.6984162411684567,1.146522293463586,1
p7,648144.445,3871639.467,16.5,7.29,1219.0,1563,197.88,128.39,77.58,246.25,85.69,469.2,17.24068802,5.12,dry,76.3762479286,1204.99,0,0.18730153894502966,-0.24528674081148605,-0.7490495854026573,0.4059880326377199,-0.6496231147334512,1.0506698693648424,1
p8,647732.2,3871850.874,19.7,7.81,1188.0,1523,189.84,144.78,92.03,365.2,111.95,459.6,31.97162703,8.45,dry,141.6343077429,1363.4,1,-0.0025459894697332786,-0.273512252732246,-0.7266129907464753,0.6517175471235719,-0.5306752585524768,0.8816289443773595,1
p9,647774.482,3872744.071,20.2,7.42,1196.0,1533,196.05,134.2,85.07,275.36,100.64,365.0,20.16383402,4.37,dry,89.3257847086,1156.3200000000002,1,0.15325274886141305,-0.22578575533934586,-0.6816425328891347,0.49296235258630183,-0.5135671869247966,0.7747803737055641,1
p10,649190.912,3871438.63,19.6,7.35,1094.0,1402,189.36,146.25,80.91,247.15,98.1,411.08,24.02672402,6.83,dry,106.4383874086,1172.85,1,0.12080404416929547,-0.13752843492446676,-0.7295084952166846,0.38714951871653547,-0.5368585544651152,0.8959419217204392,1
p11,648885.627,3872141.56,18.5,7.96,1273.0,1632,215.9,135.9,69.85,820.15,181.65,468.0,45.55951205,11.24,dry,201.8286383815,1891.45,2,-0.05737167069993543,-0.5202676870635985,-1.1858369225177263,1.2773002421377981,-0.23010524955348632,0.7162812876969502,0
p12,649090.494,3873600.272,17.3,7.15,1186.0,1520,208.6,140.0,71.26,438.96,119.5,506.3,25.35953403,2.79,dry,112.34273575289998,1484.62,0,0.06654351449136975,-0.33223260546599853,-1.007539867897612,0.8105332646754171,-0.4905586567037368,0.9532543509005613,0
p13,649597.872,3873325.442,19.9,7.67,1182.0,1516,156.99,141.01,91.38,218.52,179.64,418.5,29.25405003,7.16,dry,129.5954416329,1206.04,1,-0.13290936373328588,-0.2402606629363735,-0.6740648366503867,0.19778607074200494,0.0018633754340244835,0.8475854171440176,2
p14,650084.109,3873996.661,20.4,8.02,1324.0,1698,139.55,137.43,66.64,545.25,128.39,379.0,31.47464703,3.91,dry,139.43268634289998,1396.26,1,-0.2540263352134753,-0.26933459862904563,-0.9931442973372189,1.108795109885932,-0.33737678859281406,0.74508690988662,0
p15,648984.79,3874953.281,18.9,7.95,1223.0,1568,215.67,138.98,71.09,554.12,126.88,380.0,29.26760403,9.53,dry,129.6554858529,1486.74,1,0.09494605168253756,-0.3444733720951705,-1.01485673003996,1.0385778598083268,-0.43556165209481446,0.6613678427390797,0
p16,649994.261,3874467.043,19.1,7.39,1188.0,1523,196.85,148.56,69.52,915.2,142.22,398.5,27.07637403,5.28,dry,119.9483369529,1870.85,2,-0.09910309739400525,-0.3805561977393008,-1.1399306338266149,1.437597505841782,-0.4241699603283795,0.6061623834465184,0
p17,650136.961,3874884.573,17.6,7.58,1257.0,1612,450.6,228.02,68.13,616.86,134.8,411.83,39.37437004,0.87,dry,174.4284592772,1910.24,2,0.5921673692833327,-0.08897931430923745,-1.2969950139292346,0.9062294350678712,-0.6146204602366048,0.5021979841238746,0
Ain Boukoura,650644.339,3875492.37,20.3,8.12,1278.0,1638,295.6,111.63,82.01,596.67,145.15,375.99,13.44556801,7.62,dry,59.5638662843,1607.05,1,0.33738508146497104,-0.6364322765824344,-0.944780916560755,1.0397420891341893,-0.37385441713843637,0.5779404396824654,0
Ain Ouahab,650612.628,3877405.608,18.7,8.41,1377.0,1765,318.2,161.92,96.48,618.25,179.32,429.0,15.53514302,11.76,dry,68.8206835786,1803.17,2,0.24657345263727937,-0.42900427716730594,-0.9467709302875313,0.910786243135119,-0.32693474397916855,0.5453502556616101,0
p1,649111.635,3870571.859,19.7,7.18,1120.86,1437,131.42,146.2,72.3,219.53,120.79,380.0,29.30374803,1.96,wet,129.8156037729,1070.24,1,-0.1665869699842064,-0.06000972413824979,-0.7641611422892094,0.346503625981903,-0.25093177083674156,0.8951859812665033,2
p2,648968.934,3870318.17,20.8,7.36,1122.42,1439,120.15,142.12,85.0,231.84,108.88,415.0,39.31789504,3.84,wet,174.17827502720002,1102.99,1,-0.2700317623128381,-0.10210095334249036,-0.6161214680049998,0.3872747540770556,-0.3685263661521061,0.9695057957353814,2
p3,649529.165,3871137.374,21.5,7.21,1060.02,1359,129.12,139.56,69.5,286.17,130.01,389.5,30.95733603,2.17,wet,137.1409986129,1143.86,1,-0.22752860366520533,-0.14977619186827074,-0.8469440556160981,0.5683152316383824,-0.22065943761276685,0.8765930571239586,2
p4,649819.85,3869847.788,18.9,7.17,1065.48,1366,130.0,147.63,74.65,284.49,118.2,490.8,32.56348503,5.42,wet,144.2562386829,1245.77,0,-0.2648267227709642,-0.13765202968054968,-0.8195506492413474,0.518336930337199,-0.3599830682545484,1.0636755396102098,2
p5,648799.808,3870450.299,19.3,7.18,1116.96,1432,146.2,152.3,59.35,232.48,107.89,460.65,35.99490604,0.76,wet,159.45743375719996,1158.87,0,-0.0744969282197605,-0.033620215634322825,-0.9760203544797621,0.3893317242865342,-0.3783602859721906,1.0731660600195019,1
p6,648345.282,3871893.156,20.1,7.3,1131.0,1450,135.83,139.56,76.8,227.42,85.97,512.2,24.91225203,4.03,wet,110.3612764929,1177.7800000000002,0,-0.14036513957475893,-0.11327462709058533,-0.7105646032555324,0.37502928478741815,-0.5977708452228061,1.1869459303562664,1
p7,648144.445,3871639.467,17.8,7.31,1136.46,1457,139.04,133.35,74.0,235.19,84.57,440.56,23.97024902,2.85,wet,106.1882031586,1106.7099999999998,0,-0.08487566218482279,-0.12666007307388139,-0.7155722304977346,0.4407563744118912,-0.582057729907774,1.0684093212523216,1
p8,647732.2,3871850.874,19.5,7.19,1143.48,1466,128.6,146.5,98.45,323.72,109.84,456.0,42.90292804,6.34,wet,190.0599712172,1263.11,1,-0.3157394483543783,-0.1854208317007746,-0.5828974550727626,0.6074326844696047,-0.4734214986981815,0.9500465493564896,2
p9,647774.482,3872744.071,18.4,7.19,1154.4,1480,136.38,138.02,89.0,266.41,103.12,360.5,22.13594102,3.56,wet,98.0622187186,1093.4299999999998,1,-0.15787187121954283,-0.14591837611959324,-0.5846806085799097,0.5117194971872063,-0.437423619681117,0.8141749784129546,2
p10,649190.912,3871438.63,19.9,7.24,1121.64,1438,146.26,140.96,82.9,217.38,97.63,410.46,24.95291403,2.76,wet,110.5414091529,1095.59,1,-0.069882034081445,-0.10679173173638024,-0.6376328317830007,0.3263790802107911,-0.4740830706866701,0.962010588076712,1
p11,648885.627,3872141.56,22.1,7.26,1151.28,1476,139.67,139.56,65.55,425.76,178.77,466.6,49.07903405,7.59,wet,217.4201208415,1415.91,2,-0.30172392836393147,-0.3025118093630379,-1.0581932154719027,0.8128693815477677,-0.05490636225461376,0.9044659339057182,2
p12,649090.494,3873600.272,20.6,7.23,1154.4,1480,135.78,142.08,52.6,330.63,121.34,501.0,30.82179603,1.42,wet,136.5405564129,1283.43,0,-0.19668821726509922,-0.15133386689474015,-1.1450080263949358,0.6932757792329598,-0.30912762362444823,1.1088819549462645,2
p13,649597.872,3873325.442,16.8,7.25,1160.64,1488,142.8,145.6,94.0,185.47,176.65,420.8,41.77342804,5.83,wet,185.0562862172,1165.32,1,-0.19269230793916936,-0.17327422208206844,-0.61084257557465,0.06875578605654198,0.020033015960500222,0.8880203035788465,2
p14,650084.109,3873996.661,17.3,7.17,1161.42,1489,142.13,136.4,62.6,336.41,123.31,374.6,30.27060003,2.14,wet,134.0987581329,1175.4499999999998,1,-0.13792288647104378,-0.17907327281260255,-0.957899740115912,0.7236656359510567,-0.27996350833952555,0.8311937717880236,2
p15,648984.79,3874953.281,16.5,7.22,1163.76,1492,133.25,138.15,75.76,353.4,122.22,382.6,33.74720103,4.67,wet,149.50010056289997,1205.38,1,-0.2358647502293323,-0.19975176190586108,-0.800521364397464,0.7395087466103094,-0.32226911380851675,0.8188982437308656,2
p16,649994.261,3874467.043,19.2,7.23,1162.2,1490,147.05,158.45,57.8,545.6,138.5,401.0,38.22002104,6.92,wet,169.31469320719998,1448.4,2,-0.2325470660464095,-0.15788064490948361,-1.1663309553680818,1.078566375482839,-0.29244940541902054,0.7706416962601557,0
p17,650136.961,3874884.573,20.7,7.26,1161.42,1489,150.2,247.25,62.3,411.28,136.02,405.9,41.32388704,3.19,wet,183.0648195872,1412.9499999999998,2,-0.25345095083094193,0.24498128034184585,-1.1334572643675687,0.7538555575862729,-0.3526167564134832,0.740688133683876,2
Ain Boukoura,650644.339,3875492.37,22.8,7.5,1216.8,1560,147.5,120.23,79.5,286.77,144.05,365.6,24.19163102,1.95,wet,107.16892541859998,1143.65,1,-0.12106725326700651,-0.32548885406006356,-0.7391384073865952,0.5437850716968997,-0.14473496751634407,0.7866444105331141,2
Ain Ouahab,650612.628,3877405.608,21.6,7.62,1271.4,1630,147.6,157.52,92.0,327.5,175.7,425.5,23.30158502,5.26,wet,103.2260216386,1325.82,1,-0.27039040813830617,-0.20534388597380815,-0.7431077432556377,0.5265917347706282,-0.0961183251116271,0.7883686277087509,2
