Source,x,y,Q (l/s)
Ain Fouara,653941.37,3859422.44,13
Ain Bendou,657118.98,3865272.44,7
Ain Houtz,652919.99,3866749.98,14
Ain Ouchba,662764.338,3863560.218,0.5
Ain Boukoura,650566.82,3875509,13
Ain Ouahab,650563.22,3877459.3,6
Ain Sefra,661910.89,3868245.553,21
Ain Karadja,653941.37,3862100.82,15
Well Ksar Ech Cha'ra,652578.7,3862088.49,17
Well El Kalaa,654781.98,3859511.71,8
Well Benzerjeb,654172.88,3860167.55,33
Well Ouzidane 1,656950,3866500,19
Well Birouana,655434.47,3860351.01,20
Well Ain Fezza,661376.812,3860967.254,20
Well Hospital,652650,3860000,19
Well Pepiniere,655100,3860500,12
Well Oliviers,652071.12,3862635.02,17
Well Ain Houtz,653312.39,3866116.358,28
Well Meffrouche,654181.98,3854317.85,18
Well Feddan Sebaa,654361.32,3862442.48,20
Well lemonade factory,648708.1982,3869739.385,10
Well Zizaoui Chaib,649458.2042,3868883.376,4
